row,name,category
4155,Freaky Fruit Worms,"Fruit flavour chewy sweets, en:confectioneries"
4171,No Added Sugar Beanz In Tomato Sauce 6 X,"de:Bohnen, en:baked-beans-in-tomato-sauce"
4292,Kefir Raspberry,"Kefir drink, en:kefir"
4496,Cheese Twists,"Cheese twists, en:appetizers"
4538,Gherkins,"Pickled gerkins, en:gherkins"
5018,Whole Chicken. Roast In The Bag. Butter ,"Raw meat, en:chickens"
5385,High Protein Granola,"High Protein Granola, en:mueslis"
5465,Mexican Inspired Chicken & Grains Salad,"Meals, en:prepared-salads"
5490,Reduced Salt Tesco Baked Beans,"Beans, en:baked-beans-in-tomato-sauce"
5538,Crispsy Chicken Breast Fillets,"Chicken breast fillets, en:chicken-breasts"
5690,Orange Dark Chocolate,"Orange dark chocolate, en:dark-chocolates-with-ora"
5736,Sainsbury’s 4 Large Soft Wholemeal Rolls,"Brown-roll, en:breads"
5792,Icelandic Style Yogurt,"Fat free flavoured yoghurt, en:yogurts"
5933,Poppadoms,"Poppadoms, en:papadum"
6021,Beef Bourguignon,"Beef bourgignon, en:boeufs-bourguignons"
6104,Edamame Rainbow Salad,ms:salad
6196,Meat-free Meatballs,"Meat free meatballs, en:meat-analogues"
6211,Scottish Loch Trout Fillets,"Rainbow trout, en:fatty-fishes"
6292,Balsamic Salad Dressing,"Balsamic-salad-dressing, en:salad-dressings"
6449,All Butter Mince Pies,"Pies, en:cakes"
6463,Oat Bars,"C, en:cereal-bars"
6560,Pastrami & Emmental Sandwich,"Sandwiches, en:sandwiches-filled-with-cold-cuts"
6643,Giant Crumpet,"Crumpets, en:white-breads"
6710,Salt And Pepper Chicken With Rice - Mypr,"Chicken dishes, en:rice-dishes"
6868,Chinese Style Chow Mein Egg Noodles,"Dried Egg Noodles, en:instant-noodles"
6892,Roast Chicken & Rosemary,"Snacks, en:potato-crisps"
6922,Chocolate Cake Flapjacks,"Snack bar, en:protein-bars"
6939,Galexy Vegan Hot Choc,"Chocolate drink, en:instant-beverages"
6992,Heritage Raspberry And Senga Strawberry ,"Raspberry and strawberry yogurt, en:yogurts"
7029,Four Mixed Seed Rolls,"Mixed seed rolls, en:breads"
7079,Chip & Dip - Classic Houmous & Pretzels,"Snacks, en:hummus"
7116,Green Pesto,"Asda extra special pesto, en:green-pestos"
7121,Green Lentils With Mixed Vegetables,"Plant-based foods and beverages, en:lentils"
7269,Old El Paso 8 Regular Whole Wheat Tortil,"Whole wheat tortilla, en:wheat-flatbreads"
7399,Taste The Difference 4 Breaded Yorkshire,"Breaded ham, en:hams"
7438,Hunters Chicken Breast,"Chicken in sauce, en:chickens"
7447,Tagliatelle Free From,"cy:pasta gluten free, en:tagliatelle"
7474,Vegetable Sushi Medium,"Vegetable sushi, en:sushis"
7481,Sainsbury's Fat Free Natural Yoghurt,"Natural yoghurt, en:yogurts"
7500,Smoked Salmon Paté,"Smoked salmon pate, en:smoked-salmons"
7548,Salmon & Prawn Sushi Selection,"Fish sushi, en:sushis"
7552,Sweet Potato Fries,"Sweet potato fries, en:frozen-fried-potatoes"
7555,Feta And Mixed Grains Salad,"ms:salad, en:prepared-salads"
7643,Gouda,"Cheese Gouda, en:gouda"
7647,British Wafer Thin Ham,"Wafer thin ham, en:hams"
7654,Harissa Paste,"Harissa Paste, en:harissa-sauces"
7681,Haddock Fishcakes,"Fishcakes, en:fish-preparations"
7689,Brown Sourdough Bloomer,"Sourdough Bread, en:breads"
7747,Beetroot Salad,ms:salad
7831,Sesame Bagels,"Sesame bagels, en:special-breads"
7843,Ham And Pea Orzo,"Pasta ready meal, en:pasta-dishes"
7857,Prawn & Lemon Mayo,"Filled roll, en:sandwiches"
7861,Protein Ball Cacao And Peanut,"Snacks, en:bodybuilding-supplements"
7893,Multigrain Farmhouse,"Multigrain-bread, en:sliced-breads"
7952,Luxury Dark Cooking Chocolate,"Dark cooking chocolate, en:dark-chocolates"
7959,Tempura Chicken Mini Fillets,"Tempura chicken, en:chicken-breasts"
7992,Aldi Tiger Rolls,"Tigar rolls, en:breads"
8010,Chinese Style Pork Loin Steaks,"Po, en:pork"
8148,Free Range Lincolnshire Pork Sausages,"Lincolnshire sausages, en:sausages"
8149,British Honey Roast Ham,"Ham slice, en:hams"
8186,All Butter Mince Pies,"Sweet pies, en:pies"
8198,British Chicken Goujons,"Chicken goujon, en:breaded-chicken"
8235,Crinkles Simply Salted Potato Chips,"Salted Potato Crisps, en:potato-crisps"
8501,Tesco Multiseed Deli Rolls,"Seeded bread rolls, en:breads"
8549,Light Garlic And Herb Soft Cheese,"Garlic & Herb Soft Cheese, en:cheeses"
8695,12 Cumberland Pork Chipolata Sausages,"Pork Chipolata Sausages, en:chipolatas"
8761,Tesco Finest Gouda & Edam Crispsies,"Snacks, en:gouda"
8766,Sweet And Salted Popcorn,"Salted and sweet popcorn, en:salted-popcorn"
8824,Tesco Tiger Baton,"Bread baton, en:breads"
8842,Chicken Tikka Masala,"Canned chicken tikka masala, en:chicken-tikka-masa"
8894,Prime Cuts Roast Beef,"Sliced beef, en:beef"
8903,Breaded Chicken Nuggets,"Frozen Breaded Chicken Nuggets, en:chicken-nuggets"
8943,Mac & Four Cheese,"Macaroni cheese, en:pasta-dishes"
8947,Tesco Honey Roast Ham,"Ham slices, en:hams"
9003,Sparkling Kombucha,"Sparkling kombucha, en:kombuchas"
9035,Stone Baked Roll,"Stonebaked rolls, en:breads"
9184,Taste The Difference Cook's Belgian Dark,"Chocolate baking, en:dark-chocolates"
9238,Creamy Cool Tortillas,"Tortolla, en:corn-chips"
9284,Honey & Peppercorn Mixed Nuts,"Snacks, en:cashew-nuts"
9317,Club Mint,"Mil chocolate covered biscuit, en:biscuits"
9467,Sainsbury’s Organic Bread,"Organic white bread, en:breads"
9481,Crunchy Oat Bars,"Nairn crunchy oat bars, en:cereal-bars"
9508,Irn Bru Xtra,"Fizzy drink, en:sweetened-beverages"
9584,Lindahls Kvarg,"Fat free Quark, en:dairy-desserts"
9678,Tomato And Mascarpone Stir Through Sauce,"Tomato and mascarpone stir through sauce, en:pasta"
9738,Cheese And Onion Sandwich With Mayo,"Sandwiches, en:cheese-sandwiches"
9757,Hot Cross Buns,"Hot Cross Buns, en:breads"
9984,Chopped Dried Pitted Apricots,"Dry fruit, en:dried-apricots"
10009,Cheese Footballs,"Snacks, en:crisps"
10093,Tiger Bloomer Loaf,"Bread Loaf, en:breads"
10173,Longley Farm Vanilla Yogurt,"Yogurt live, en:fruit-yogurts"
10179,Chocolate Chip Shortbread,"Chocolate chip shortbread, en:shortbread-cookies"
10288,Salted Caramel Vegan Collagen Protein Ba,"Plant protein bar, en:protein-bars"
10347,Throat And Chest Lozenges,"Lozenges, en:candies"
10386,Giant Bar Rolled Oats & Cherry,"Flapjacks, en:cereal-bars"
10454,Thins Sour Cream & Chive,"Cracker, en:crispbreads"
10520,Multi Seed Bloomer,"Bloomer, en:breads"
10528,Skinny Dreams Millionaire Shortbread,"Snacks, en:biscuits"
10545,Lando Norris 50.0 Onster Energ Zerosugar,en:energy-drinks
10549,Vegan Choc Spread,"Vegan Chocolate Spread, en:chocolate-spreads"
10581,Vegan Cherry & Coconut Oat Flapjack,"Flapjack, en:cereal-bars"
10582,Flapjacks Cherry & Almond Flavour,"Flapjack, en:bars"
10585,Chocolate Coated Flapjack,"es:Nutricion-deportiva, en:bars"
10614,Drink Me Chai Spiced Chai Latte,"Powdered chai latte, en:sweetened-beverages"
10738,Tribe - Protein Flapjack,"Protein Flapjack, en:protein-energy-bars"
10800,Chorizo Carbonara,"Frozen Carbonara, en:chorizo"
10821,Milk Chocolate Mousse,"Desserts, en:chocolate-mousses"
10822,Victoria Sponge Cake Pot,"Pot desserts, en:cakes"
10846,Soak’d Oats,"Oat bar, en:bars"
10870,4 Frangipanes,"Sweet pies, en:cakes"
10941,Digestive Sugar Free Biscuits,"Bus, en:biscuits"
10990,Choco Hazelnut Soft Bakes,"Soft Bakes, en:biscuits"
11162,Plant Based Mayo,"Vegan Mayonnaise, en:mayonnaises"
11167,Marshmallows With Mango Purè,"Marshmallows with Mango Purèe, en:candies"
11241,M&S Smoked Tomato Sauce,"Tomato sauce with oak smoked tomato puree, en:toma"
11260,Corned Beef Crispsbakes,"Croquette, en:beef-dishes"
11287,Sweet Pickle,"Condiments, en:vegetable-pickles"
11296,Singapore Style Noodles,"Singapore noodles, en:noodles"
11299,Classic French Dressing,"Groceries, en:vinaigrettes"
11300,Hand Cooked Sea Salt & Cracked Black Pep,"Snacks, en:potato-crisps"
11318,Mixed Bean Salad,"Canned mixed beans, en:prepared-salads"
11332,Bramley Apple Turnover,"Fruit Pastries, en:apple-turnovers"
11334,Greek Salad,ms:salad
11337,Dried Grated Hard Cheese,"Dried products, en:cheeses"
11352,Oat & Sultana Cookies,"Gluten free oat and sultana cookies, en:biscuits"
11395,Hot Lime Pickle,"Condiments, en:pickled-vegetables"
11402,Seasoned Curly Fries,"Chips and fries, en:fries"
11516,16 Vegetable Spring Rolls,"Snacks, en:spring-rolls"
11537,Chickpea Dhal,"Tinned Curry, en:chickpeas"
11592,Feta And Herb Parcels,"Feta pastries, en:cheeses"
11636,Sainsburys,"Crumpets, en:breads"
11642,Basil Pesto,"Basil Pesto Sainsburys Taste the Difference, en:gr"
11645,10 Mozzarella Slices,"Mozzarella slices, en:mozzarella"
11648,Chicken Breast En Croute,"Chicken breast en croute, en:chickens"
11711,Jammie Dodgers Family Pack,"Food sweet, en:biscuits"
11797,Taste The Difference Brown Sourdough Blo,"Sourdough, en:breads"
11803,Rye Sourdough,"Sourdough Bread, en:breads"
11917,Smoked Haddock Fishcakes,"Fishcakes, en:fish-preparations"
11977,Golden Multiseed Bread Mix,"Bread mix, en:breads"
11991,Melton Mowbray Pork Pie,"Pies, en:pork-pies"
12090,Ready Salted Crisps,"Lightly salted crisps, en:potato-crisps"
12255,Halloumi Fries,"Cheese in crumb, en:breaded-cheeses"
12313,"Tenderstem Broccoli, Petits Pois & Cavol","Green Vegetables, en:fresh-vegetables"
12341,Royal Lamb Biryani,"Lamb Biryani, en:rice-dishes"
12456,White Flatbreads,"White folded flatbreads, en:special-breads"
12538,Lupilu Organic Chicken Casserole With Ri,"Baby foods, en:main-meals-for-babies"
12578,Chicken Jalfreizi,"Curry, en:meals-with-chicken"
12599,Vegetable Samosa,"Indian snack, en:vegetable-samosas"
12606,Gochujang Pulled Chicken,"Pulled chicken, en:meals-with-chicken"
12734,Seal Bars: Milk Chocolate,"Chocolate biscuit bar, en:chocolate-biscuits"
12829,Meatster,"Snacks, en:salami"
12872,Vegetable Burgers,"Aldi Vegetable Burgers, en:meat-analogues"
12886,Tuna In Spring Water,"Tinned Tuna, en:canned-tunas"
12917,Pasta And Meatballs,"Pasta and meatballs, en:pasta-dishes"
12968,Oat So Simple Classic Banana,"Porridge with banana, en:cereal-flakes"
12974,Fruity Imp,"Condiments, en:brown-sauces"
12996,1025 Cispy Birds Eye Hips Veryday & Ever,"Crispy chips, en:fries"
13087,Poppadums,"Savoury snack, en:papadum"
13115,Mango & Passion Fruit,"Youghurt, en:non-dairy-desserts"
13154,Heinz Organic Cream Of Tomato Soup,"Tinned soup, en:cream-of-vegetable-soups"
13157,Heinz Alphabetti Pasta,"Spaghetti in tomato sauce, en:pasta-sauces"
13158,Tomato And Basil Soup,"Tomato and basil soup, en:soups"
13180,Plant Based Tomato Soup,"Plant based tomato soup, en:vegetable-soups"
13214,Fruit & Nut,"Snacks, en:bars"
13320,Roasted Garlic Ciabatta,"Roasted Garlic Ciabatta, en:breads"
13382,Greek Side Salad,ms:salad
13583,Tuna,"Seafood, en:canned-tunas"
13636,Chilli Heatwave,"Snacks, en:corn-chips"
13682,Strawberry Flavour Dessert,"Whipped dessert, en:candies"
13711,Deluxe Custard,"Desserts, en:custards-and-pastry-creams"
13739,Organic Self-raising Flour,"Self raising flour, en:wheat-flours"
13777,Lemon And Raspberry,"Diluting juice, en:artificially-sweetened-beverage"
13798,All Butter Muffins,"Upf, en:muffins"
13884,Disgestives,"Digestives, en:biscuits"
13929,Pad Thai Rice Noodles,"Rice noodles, en:noodles"
14063,Seeded Sourdough,"Sourdough bread, en:breads"
14104,All Butter Shortbread Petticoat Tails,"All butter shortbread petticoat tails, en:shortbre"
14140,Digestives,"Snacks, en:biscuits"
14210,Crisps Bakes,"Crisp bread, en:toasts"
14236,Mediteranean Sundried Tomato Nut Roast,"Veggie loaf, en:meat-analogues"
14244,Salmon Poke Bowl,"Poke bowls, en:sushi-and-maki"
14314,Spanish Chorizo,"Spanish Chorizo Sausage, en:chorizo"
14327,Roast Chicken Breast Fillets,"Cooked chicken breast, en:chicken-breasts"
14452,Cheez-it,"Cheese & chilli baked snacks, en:flavoured-potato-"
14524,Straight Cut Oven Chips,"Oven chips, en:frozen-fried-potatoes"
14530,Sultana And Oat Cookies,"Sultana & Oat Cookies, en:biscuits"
14601,Wholemeal Sourdough,"Wholemeal sourdough, en:breads"
14608,Graze Banana Oat Boosts,"Snacks, en:cereal-bars"
14620,Lemon Drizzle Flapjack,"Flapjack, en:cereal-bars"
14654,Nature’s Strawberries,"Frozen strawberries in chocolate, en:berries"
14718,Sourdough Crumpets,"Crumpet, en:breads"
14725,Pizza Mix,"Pizza mix, en:pizzas"
14751,Natural Yoghurt,"Asda natural yogurt, en:plain-yogurts"
14755,Asda Buttermilk Breaded Mini Fillets,"Chicken goujon, en:chicken-breasts"
14832,Ms Mollys's Ginger Nuts,"Ginger Nut Biscuits, en:biscuits"
14845,White Baguette,"White Baguette, en:baguettes"
14879,Sourdough Crumpets,"Crumpets with sourdough, en:breads"
14885,Vegan Fingers Plant Chef,"Meat alternatives, en:meat-analogues"
14887,Scotch Pancakes,"Scotch pancakes, en:pancakes"
15025,Southern Fried Chicken Breast,"Frozen chicken, en:breaded-chicken"
15043,Humous & Falafel Mezze Salad,ms:salad
15067,"Fruit & Fibre Bars, Strawberry & Raspber","Snacks, en:bars"
15168,Strawberry Kefir,"Activia Kefir Strawberry Drink, en:kefir"
15171,Dark Chocolate Peanut Butter Cups,"Dark chocolate peanut butter, en:chocolate-candies"
15270,Sun-dried Tomatos,"Sundried tomatoes, en:dried-tomatoes"
15276,The Bakery 6 Bagel Thins,"The bakery at Asda 6 bagel thins, en:special-bread"
15283,Exceptional Superseeded Sliced Loaf,"Seeded bread, en:multigrain-sliced-breads"
15326,Mediterranean Halloumi Sticks,"Halloumi sticks, en:halloumi"
15380,Schwartz BBQ Seasoning,"Condiments, en:spice-mix"
15414,Biscoff Milk Chocolate (with Biscoff Bis,en:biscuits
15432,Jezyki Cherry,"Chocolate coated biscuits, en:biscuits"
15475,White Sourdough Bread,"White sourdough bread, en:breads"
15537,Hot Chocolate,"Beverages, en:instant-chocolate-powders"
15555,Cranberry,"Chocolates with cranberry, en:dark-chocolates"
15644,Amaretto,"Biscuit amaretto, en:biscuits"
15646,Dark Rye Sourdough Loaf,"Sourdough bread, en:breads"
15837,Mackerel Sizzle Zesty Lime & Chilli,"Mackerel fillets in lime and chilli marinade, en:m"
15843,Hot Chipotle Chilli Paste M&S,"Chilli paste, en:barbecue-sauces"
15849,Corn Thins,"Snacks, en:corn-chips"
15858,Roasted Mushroom Pate,"Mushroom pate, en:pate"
15877,Chargrilled Chicken Breast Chunks,"Chicken breast chunks, en:chickens"
15918,Ultimate Cocktail Nut Mix,"Snacks, en:nuts"
15972,Parmigiano Reggiano,"Italian hard cheese, en:parmigiano-reggiano"
16016,Soured Cream,"Dairies, en:sour-creams"
16285,Fusions Tuna,"Soy and ginger infused tuna (tinned), en:canned-tu"
16286,Vegetable Fingers,"Vegetable fingers, en:meat-analogues"
16288,Unsmoked Bacon,"Back bacon unsmoked, en:bacon"
16334,Sardines,"Sardines in hot sauce, en:sardines-in-oil"
16352,Potato Waffles,"Potato waffle, en:waffles"
16434,Shippam's Classic Salmon Spread,"Sandwich Spread, en:canned-salmons"
16435,Chicken Spread,"Sandwich spread, en:salted-spreads"
16568,Cashew Not & Cranberry Nut Roast,"Veggie loaf, en:meat-analogues"
16594,Mangalore Roasted Coconut Curry,"Curry kiy, en:curry-sauces"
16595,Malaysian Laksa Curry,"Malaysian Laksa Curry, en:spice-mix"
16636,Meat Free Chicken,"Meat free chicken, en:meat-analogues"
16646,Pralinki Irish Cream,"Chocolate-liqueurs, en:chocolate-candies"
16690,Multigrain And Seeds Tarralini,"Biscuit Bites, en:appetizers"
16695,Pad Thai Chicken With Zesty Sauce,"Chicken pad thai, en:poultry-meals"
16700,Chicken Big Bao,"Lunch, en:poultry-meals"
16755,Muhammara With Fresh Peppers,"Muhammara with fresh peppers, en:muhammara"
16845,Yellow Lentil Curry,"Meals, en:plant-based-meals"
16884,Stroopwafels,"Snacks, en:caramel-stuffed-wafers"
17162,Garlic & Cheese Mushrooms,"Stuffed mushrooms, en:mushrooms"
17194,Whey Protein Powder,"Protien shake, en:protein-powders"
17199,Dark Chocolate Raspberry Biscuit,"Dark chocolate raspberry biscuit, en:biscuits"
17215,Reese's Pieces,"Peanut butter in a crunchy shell, en:candies"
17229,Keto Bar Choc Fudge & Peanut,"Keto snack bar, en:dietary-supplements"
17266,Barbecue Sauce,"Barbeque sauce, en:barbecue-sauces"
17284,Toffee Apple Flapjack Oat Bar,"Oat bars, en:bars"
17486,Rolo Creme Dessert,"Desserts, en:chocolate-desserts"
17742,White Chocolate And Caramelised Biscuit,"White chocol, en:white-chocolates"
17761,Croque Monsieur With Emmental Cheese,"Sandwiches, en:toasted-ham-sandwich-topped-with-gr"
17795,Potato Hoops,"Snacks, en:potato-crisps"
17888,Active Fat Free Yogurt Peach,"Vegetarian, en:yogurts"
18018,Shukup Strawberry Milkshake,"Yoghurt drink, en:flavoured-milks"
18031,Gravy,"Gravy granuals, en:dehydrated-sauces"
18113,Loading…,"White hot chocolate, en:yogurts"
18153,No Chicken Drumsticks,"Meat alternatives, en:meat-analogues"
18167,Prawn Cocktail Snacks,"Snacks, en:crisps"
18221,"Sundried Tomato, Pecorino And Aubergine ","Cappellacci, en:stuffed-pastas"
18288,Revels,"19%, en:confectioneries"
18296,Peanut Butter Dark Chocolate,"Snacks, en:bars"
18339,Twiglets,"Savoury snack, en:crisps"
18466,Crunch Bacon Crispss,"Snacks, en:flavoured-potato-crisps"
18490,Dr Oetker Chocolate Chunks Extra Dark,"Chocolate chunks, en:chocolates"
18506,Doritos Tangy Cheese,"Doritos, en:corn-chips"
18719,Foxs Ginger Crunch Creams,"Biscuit (cookie) snack w cream filling, en:biscuit"
18883,Chicken And Mushroom Risotto,"Frozen foods, en:risottos"
18999,Saag Aloo Rice,"Microwave Rice, en:rice-dishes"
19015,Pancake Syrup,"Syrups, en:simple-syrups"
19038,Crab Meat,"Seafood, en:crab"
19117,Sea Salt & Cider Vinegar Veggie Cakes,"Lentil & pea cakes, en:appetizers"
19153,Prawn Cocktail Crispss,"es:Patatas-fritas-en-bastones, en:potato-crisps"
19171,Really Cheesey Lentil Puffs,"Lentil puffs, en:appetizers"
19183,Cheddars Original Biscuits,"Cheese biscuits, en:biscuits"
19458,Jakemans Cherry,"Lozenges, en:confectioneries"
19459,Blackcurrant Soothing Menthol Lozenges,"Cough sweets, en:candies"
19566,Porridge,"Instant Porridge, en:porridge"
19574,Japanese Style Katsu Curry Long Grain Ri,"Katsu curry, en:rice-dishes"
19580,Water Lemons & Limes,"Beverages, en:waters"
19657,Tesco Smoked Haddock,"Smoked yellow haddock, en:smoked-haddock"
19684,Blueberry Yogurt Drink,"Yoghurt-drinks, en:yogurts"
19718,Cocoa Orange Oat Boosts,"Oat bar, en:cereal-bars"
19764,Raspberry & White Chocolate,"Skinny crunch light, en:bars"
19772,Peanut Butter Protein Bar,"Snacks, en:cereal-bars"
19773,Snickers Protein Peanut Butter Flavour,"Snack bar, en:confectioneries"
19858,Southern Style Chicken Bites (22.5g),"Chicken bites, en:chickens"
19900,Fruit Winders,"Packaged snacks, en:confectioneries"
19925,Tesco Unsmoked Gammon Joint,"Gammon, en:pork"
19938,Thick Whole Slices Roast Ham,"Ham slices, en:hams"
19974,Fruit Stars,"Star shape fruit gums, en:gummi-candies"
19981,Raspberry Yoghurt Flakes - Fruit Bowl,"Snacks, en:yogurts"
20025,Strawberry Ice Cream,"Strawberry ice cream, en:ice-creams"
20072,Sticky Pickle,"Sticky pickle, en:plant-based-pickles"
20148,"3 Nut Free Blueberry, Raspberry & Strawb","Cereal bar with oats, en:cereal-bars"
20180,Bacon & Tomato,"Snacks, en:potato-crisps"
20226,Sour Cream & Chive Flavour Lentil Chips,"Lentil-chips, en:crisps"
20228,Salt And Vinegar Lentil Chips,"Lentil chips, en:crisps"
20306,Potato Crispss With Rosemary And Sea Sal,"Potato crisps with rosemary and sea salt, en:potat"
20326,Getpro Protein Drink,"Dietary supplements, en:bodybuilding-supplements"
20336,Pip & Nut Milk Chocolate Peanut Butter C,"Snacks, en:chocolate-candies"
20381,Monty Bojangles Choccy Scoffy Truffles,"Cocoa truffles, en:milk-chocolates"
20409,Raw Vitamin Honey,"Vitamin honey, en:honeys"
20448,"Roasted Almond Fruit, Nut & Seed Bars","Nut-and-seed-bars, en:cereal-bars"
20468,Huel Instant Meals - Sweet & Sour,"Nutritionally Complete Food, en:meal-replacements"
20532,Premium Indian Tonic Water,"Beverage tonic water, en:tonic-water"
20563,This Isn’t Beef Mince,"Meat alternatives, en:meat-analogues"
20595,Knoops Dark Chocolate Flakes,"Hot-chocolate, en:dark-chocolates"
20631,Hummus Chips,"Snacks, en:crisps"
20638,Creamy Dill Lentil Chips,"Lentil chips, en:crisps"
20639,Eat Real Hummus Chips,"Snacks, en:appetizers"
20647,Huel Complete Protein Powder - Banana Mi,"Nutritionally Complete Food, en:protein-shakes"
20653,Huel Complete Nutrition Bar - Chocolate ,"Nutritionally Complete Food, en:protein-bars"
20656,Hot & Savoury - Hoisin ‘duck’ Noodles,"Meals, en:instant-noodles"
20657,Protein Bar Chocolate Caramel,"Nutrition bar, en:protein-bars"
20663,Huel Instant Meals - Pasta Bolognese,"Nutritionally Complete Food, en:meal-replacements"
20665,Huel Instant Meal Pots - Katus,"Nutritionally Complete Food, en:dried-meals"
20755,Oat Drink Powder,"Mil, en:milk-substitutes"
