code,name,category,permitted_GB,permitted_NI,permitted_EU,status_notes,child_warning,PKU_warning,polyols_warning,sulphites_allergen_label,origin,overview,typical_uses,effects_summary,effects_verdict,synonyms,matches,ins_number,sources
FLAV001,Vanillin,flavor compound,TRUE,TRUE,TRUE,Most common flavor,FALSE,FALSE,FALSE,FALSE,synthetic,Artificial vanilla flavor.,"Ice cream, baked goods, chocolate.",Synthetic but identical to natural.,neutral,Methyl vanillin,vanillin,,"[{""title"": ""Flavor Compounds"", ""url"": ""https://www.fema.org""}]"
FLAV002,Ethyl Vanillin,flavor compound,TRUE,TRUE,TRUE,Stronger than vanillin,FALSE,FALSE,FALSE,FALSE,synthetic,3x stronger than vanillin.,"Chocolate, baked goods.",Synthetic vanilla flavor.,neutral,Ethovan,ethyl vanillin,,"[{""title"": ""Flavor Compounds"", ""url"": ""https://www.fema.org""}]"
FLAV003,Benzaldehyde,flavor compound,TRUE,TRUE,TRUE,Almond flavor,FALSE,FALSE,FALSE,FALSE,synthetic/natural,Artificial almond flavor.,"Cherry, almond flavoring.",Can be natural or synthetic.,neutral,Artificial almond,benzaldehyde,,"[{""title"": ""Flavor Compounds"", ""url"": ""https://www.fema.org""}]"
FLAV004,Cinnamaldehyde,flavor compound,TRUE,TRUE,TRUE,Cinnamon flavor,FALSE,FALSE,FALSE,FALSE,synthetic/natural,Main cinnamon compound.,"Cinnamon products, gum.",Can cause oral irritation.,neutral,Cinnamic aldehyde,cinnamaldehyde,,"[{""title"": ""Flavor Compounds"", ""url"": ""https://www.fema.org""}]"
FLAV005,Citral,flavor compound,TRUE,TRUE,TRUE,Lemon flavor,FALSE,FALSE,FALSE,FALSE,synthetic/natural,Lemon scent/flavor.,"Lemon products, beverages.",Can be allergen.,neutral,Lemonal,citral,,"[{""title"": ""Flavor Compounds"", ""url"": ""https://www.fema.org""}]"
FLAV006,Limonene,flavor compound,TRUE,TRUE,TRUE,Citrus flavor,FALSE,FALSE,FALSE,FALSE,natural/synthetic,Orange/lemon terpene.,"Citrus products, cleaners.",Can cause skin sensitization.,neutral,D-limonene,limonene,,"[{""title"": ""Flavor Compounds"", ""url"": ""https://www.fema.org""}]"
FLAV007,Menthol,flavor compound,TRUE,TRUE,TRUE,Mint flavor,FALSE,FALSE,FALSE,FALSE,synthetic/natural,Cooling mint compound.,"Gum, candy, cigarettes.",Creates cooling sensation.,positive,Peppermint camphor,menthol,,"[{""title"": ""Flavor Compounds"", ""url"": ""https://www.fema.org""}]"
FLAV008,Eugenol,flavor compound,TRUE,TRUE,TRUE,Clove flavor,FALSE,FALSE,FALSE,FALSE,natural/synthetic,Main clove compound.,"Dental products, baked goods.",Can cause allergic reactions.,neutral,Clove oil,eugenol,,"[{""title"": ""Flavor Compounds"", ""url"": ""https://www.fema.org""}]"
FLAV009,Anethole,flavor compound,TRUE,TRUE,TRUE,Anise flavor,FALSE,FALSE,FALSE,FALSE,natural/synthetic,Licorice/anise flavor.,"Liqueurs, candy, baked goods.",Generally safe.,positive,Anise camphor,anethole,,"[{""title"": ""Flavor Compounds"", ""url"": ""https://www.fema.org""}]"
FLAV010,Diacetyl,flavor compound,TRUE,TRUE,TRUE,Butter flavor,FALSE,FALSE,FALSE,FALSE,synthetic/natural,Butter flavor compound.,"Popcorn, margarine.",Lung disease risk (workers).,negative,Butanedione,diacetyl,,"[{""title"": ""Flavor Compounds"", ""url"": ""https://www.fema.org""}]"
