code,name,category,permitted_GB,permitted_NI,permitted_EU,status_notes,child_warning,PKU_warning,polyols_warning,sulphites_allergen_label,origin,overview,typical_uses,effects_summary,effects_verdict,synonyms,matches,ins_number,sources
FATTY01,Oleic Acid,fatty acid,TRUE,TRUE,TRUE,Omega-9,FALSE,FALSE,FALSE,FALSE,plant/animal,C18:1 monounsaturated.,"Cosmetics, food processing.",Heart healthy fat.,positive,Omega-9,oleic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY02,Linoleic Acid,fatty acid,TRUE,TRUE,TRUE,Omega-6,FALSE,FALSE,FALSE,FALSE,plant,C18:2 essential fatty acid.,"Supplements, oils.",Essential fatty acid.,positive,LA; Omega-6,linoleic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY03,Alpha-Linolenic Acid,fatty acid,TRUE,TRUE,TRUE,Omega-3,FALSE,FALSE,FALSE,FALSE,plant,C18:3 essential fatty acid.,"Flax oil, supplements.",Plant omega-3.,positive,ALA; Omega-3,alpha linolenic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY04,Gamma-Linolenic Acid,fatty acid,TRUE,TRUE,TRUE,Omega-6,FALSE,FALSE,FALSE,FALSE,plant,GLA from borage/evening primrose.,"Supplements.",Anti-inflammatory claims.,positive,GLA,gamma linolenic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY05,Arachidonic Acid,fatty acid,TRUE,TRUE,TRUE,Omega-6,FALSE,FALSE,FALSE,FALSE,animal,C20:4 inflammatory precursor.,"Infant formula.",Essential for infants.,neutral,AA; ARA,arachidonic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY06,Eicosapentaenoic Acid,fatty acid,TRUE,TRUE,TRUE,Omega-3,FALSE,FALSE,FALSE,FALSE,fish,EPA fish oil.,"Fish oil supplements.",Anti-inflammatory.,positive,EPA,eicosapentaenoic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY07,Docosahexaenoic Acid,fatty acid,TRUE,TRUE,TRUE,Omega-3,FALSE,FALSE,FALSE,FALSE,fish/algae,DHA brain fat.,"Infant formula, supplements.",Brain development.,positive,DHA,docosahexaenoic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY08,Conjugated Linoleic Acid,fatty acid,TRUE,TRUE,TRUE,CLA,FALSE,FALSE,FALSE,FALSE,animal/synthetic,Trans fat isomers.,"Weight loss supplements.",Fat loss claims.,neutral,CLA,conjugated linoleic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY09,Palmitic Acid,fatty acid,TRUE,TRUE,TRUE,Saturated,FALSE,FALSE,FALSE,FALSE,palm/animal,C16:0 saturated fat.,"Processed foods.",Raises cholesterol.,negative,C16:0,palmitic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY10,Myristic Acid,fatty acid,TRUE,TRUE,TRUE,Saturated,FALSE,FALSE,FALSE,FALSE,coconut/animal,C14:0 saturated fat.,"Coconut products.",Raises cholesterol more than palmitic.,negative,C14:0,myristic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
